Empresa;Codigo;Symbols
3M;DRN;MMMC34
3TENTOS;ON   NM;TTEN3
ABBVIE;DRN;ABBV34
ABC BRASIL;PN   N2;ABCB4
ADOBE INC;DRN;ADBE34
ADVANCE AUTO;DRN;A1AP34
ADVANCED MIC;DRN;A1MD34
AERIS;ON   NM;AERI3
AIRBNB;DRN;AIRB34
ALBEMARLE CO;DRN;A1LB34
ALIBABAGR;DRN;BABA34
ALLIAR;ON   NM;AALR3
ALLIED;ON   NM;ALLD3
ALLOS;ON   NM;ALOS3
ALPARGATAS;ON   N1;ALPA3
ALPARGATAS;PN   N1;ALPA4
ALPHABET;DRN;GOGL34
ALPHABET;DRN;GOGL35
ALPHAVILLE;ON   NM;AVLL3
ALUPAR;UNT  N2;ALUP11
AMAZON;DRN;AMZO34
AMBEV S/A;ON;ABEV3
AMBIPAR;ON   NM;AMBP3
AMERICAN AIR;DRN;AALL34
AMERICAN EXP;DRN;AXPB34
AMERICAN TOW;DRN;T1OW34
ANIMA;ON   NM;ANIM3
APPLE;DRN;AAPL34
APPLIED MATE;DRN;A1MT34
ARCELOR;DRN;ARMT34
ARISTA NETWO;DRN;A1NE34
ARMAC;ON   NM;ARML3
ASML HOLD;DRN;ASML34
ASSAI;ON   NM;ASAI3
ASTRAZENECA;DRN;A1ZN34
ATT INC;DRN;ATTB34
AUREN;ON   NM;AURE3
AZZAS 2154;ON   NM;AZZA3
B3;ON   NM;B3SA3
BAIDU INC;DRN;BIDU34
BANCO BMG;PN   N1;BMGB4
BANCO PAN;PN   N1;BPAN4
BANESE;ON;BGIP3
BANESE;PN;BGIP4
BANESTES;ON;BEES3
BANESTES;PN;BEES4
BANK AMERICA;DRN;BOAC34
BANRISUL;ON   N1;BRSR3
BANRISUL;PNB  N1;BRSR6
BBSEGURIDADE;ON   NM;BBSE3
BEMOBI TECH;ON   NM;BMOB3
BERKSHIRE;DRN;BERK34
BEYOND MEAT;DRN;B2YN34
BILIBILI INC;DRN;B1IL34
BILL HOLD;DRN;B2HI34
BIOMA EDUC;ON   MA;BIED3
BIOMM;ON   MA;BIOM3
BIONTECH SE;DRN;B1NT34
BLACKROCK;DRN;BLAK34
BLAU;ON   NM;BLAU3
BLOCK INC.;DRN;X1YZ34
BOA SAFRA;ON   NM;SOJA3
BOOKING;DRN;BKNG34
BP PLC;DRN;B1PP34
BR PARTNERS;UNT  N2;BRBI11
BRADESCO;ON   N1;BBDC3
BRADESCO;PN   N1;BBDC4
BRADESPAR;ON   N1;BRAP3
BRADESPAR;PN   N1;BRAP4
BRASIL;ON   NM;BBAS3
BRASILAGRO;ON   NM;AGRO3
BRASKEM;ON   N1;BRKM3
BRASKEM;PNA  N1;BRKM5
BRAVA;ON   NM;BRAV3
BRF SA;ON   NM;BRFS3
BRISANET;ON   NM;BRST3
BRITISH AMER;DRN;B1TI34
BROADCOM INC;DRN;AVGO34
BTGP BANCO;UNT  N2;BPAC11
CAIXA SEGURI;ON   NM;CXSE3
CAMIL;ON   NM;CAML3
CARTESIA FII;CI;CACR11
CASAS BAHIA;ON   NM;BHIA3
CATERPILLAR;DRN;CATP34
CBA;ON   NM;CBAV3
CEA MODAS;ON   NM;CEAB3
CEDRO;PN   N1;CEDO4
CELESC;ON   N2;CLSC3
CELESC;PN   N2;CLSC4
CEMIG;ON   N1;CMIG3
CEMIG;PN   N1;CMIG4
CHARTER COMM;DRN;CHCM34
CHEVRON;DRN;CHVX34
CIABRASF;ON   NM;ADMF3
CISCO;DRN;CSCO34
CITIGROUP;DRN;CTGP34
COCA COLA;DRN;COCA34
COELCE;PNA;COCE5
COGNA ON;ON   NM;COGN3
COINBASEGLOB;DRN;C2OI34
COLGATE;DRN;COLG34
COMCAST;DRN;CMCS34
COPASA;ON   NM;CSMG3
COPEL;ON   N2;CPLE3
COPEL;PNA  N2;CPLE5
COPEL;PNB  N2;CPLE6
COPHILLIPS;DRN;COPH34
COSAN;ON   NM;CSAN3
COSTCO;DRN;COWC34
CPFL ENERGIA;ON   NM;CPFE3
CROWDSTRIKE;DRN;C2RW34
CRUZEIRO EDU;ON   NM;CSED3
CSNMINERACAO;ON   N2;CMIN3
CSU DIGITAL;ON   NM;CSUD3
CURY S/A;ON   NM;CURY3
CVC BRASIL;ON   NM;CVCB3
CYRELA REALT;ON   NM;CYRE3
D1000VFARMA;ON   NM;DMVF3
DANAHER CORP;DRN;DHER34
DASA;ON   NM;DASA3
DEERE CO;DRN;DEEC34
DELL TECHNOL;DRN;D1EL34
DESKTOP;ON   NM;DESK3
DEXCO;ON   NM;DXCO3
DEXXOS PAR;ON   N1;DEXP3
DEXXOS PAR;PN   N1;DEXP4
DIAGEO PL;DRN;DEOP34
DIMED;ON   NM;PNVL3
DIRECIONAL;ON   NM;DIRR3
DOLLAR GENER;DRN;DGCO34
DOTZ SA;ON   NM;DOTZ3
ECOPETROL SA;DRN;E1CO34
ECORODOVIAS;ON   NM;ECOR3
ELETROBRAS;ON   N1;ELET3
ELETROBRAS;PNB  N1;ELET6
EMBRAER;ON   NM;EMBR3
ENERGISA;UNT  N2;ENGI11
ENEVA;ON   NM;ENEV3
ENGIE BRASIL;ON   NM;EGIE3
ENJOEI;ON   NM;ENJU3
EQUATORIAL;ON   NM;EQTL3
EQUINIX INC;DRN;EQIX34
EQUINOR ASA;DRN;E1QN34
ESTAPAR;ON   NM;ALPK3
ETERNIT;ON   NM;ETER3
EUCATEX;ON   N1;EUCA3
EUCATEX;PN   N1;EUCA4
EVEN;ON   NM;EVEN3
EXXON MOBIL;DRN;EXXO34
EZTEC;ON   NM;EZTC3
FER HERINGER;ON   NM;FHER3
FERBASA;ON   N1;FESA3
FERBASA;PN   N1;FESA4
FII AFHI CRI;CI;AFHI11
FII AJ MALLS;CI;AJFI11
FII ALIANZA;CI;ALZR11
FII ARCTIUM;CI;RZAT11
